Team,SQI,Puntos_Plantilla
Mexico,1.001,581.0
South Africa,0.982,535.3
South Korea,1.072,737.9
Czechia,1.06,711.7
Canada,1.04,668.1
Switzerland,1.175,955.4
Qatar,0.976,520.0
Bosnia and Herzegovina,1.036,658.9
Brazil,1.282,1238.8
Morocco,1.051,692.8
Haiti,0.991,556.2
Scotland,1.023,631.4
United States,1.111,818.1
Paraguay,1.001,581.0
Australia,0.975,517.3
Türkiye,1.058,706.4
Germany,1.329,1428.5
Curaçao,0.978,523.8
Ivory Coast,1.123,844.6
Ecuador,0.992,558.3
Netherlands,1.256,1158.7
Japan,1.101,798.7
Tunisia,0.977,522.7
Sweden,1.107,810.1
Belgium,1.234,1097.4
Egypt,1.008,596.4
Iran,0.967,496.6
New Zealand,0.999,575.8
Spain,1.344,1513.0
Cabo Verde,0.968,500.1
Saudi Arabia,0.978,523.6
Uruguay,1.068,728.4
France,1.374,1775.2
Senegal,1.177,961.4
Norway,1.195,1002.9
Iraq,0.969,501.0
Argentina,1.273,1210.0
Algeria,1.058,707.3
Austria,1.14,881.0
Jordan,0.999,576.3
Portugal,1.285,1246.9
Uzbekistan,0.984,538.8
Colombia,1.05,690.5
Congo DR,0.971,507.8
England,1.348,1533.5
Croatia,1.2,1014.0
Ghana,1.063,717.3
Panama,0.988,549.4
