Jugador,Nacionalidad,Club,Pais_Club
Matěj Kovář,República Checa,PSV Eindhoven,Países Bajos
David Zima,República Checa,Slavia Praga,República Checa
Tomáš Holeš,República Checa,Slavia Praga,República Checa
Robin Hranáč,República Checa,TSG Hoffenheim,Alemania
Vladimír Coufal,República Checa,TSG Hoffenheim,Alemania
Štěpán Chaloupek,República Checa,Slavia Praga,República Checa
Ladislav Krejčí,República Checa,Wolverhampton Wanderers,Inglaterra
Vladimír Darida,República Checa,Hradec Králové,República Checa
Adam Hložek,República Checa,TSG Hoffenheim,Alemania
Patrik Schick,República Checa,Bayer Leverkusen,Alemania
Jan Kuchta,República Checa,Sparta Praga,República Checa
Lukáš Červ,República Checa,Viktoria Plzeň,República Checa
Mojmír Chytil,República Checa,Slavia Praga,República Checa
David Jurásek,República Checa,Slavia Praga,República Checa
Pavel Šulc,República Checa,Lyon,Francia
Jindřich Staněk,República Checa,Slavia Praga,República Checa
Lukáš Provod,República Checa,Slavia Praga,República Checa
Michal Sadílek,República Checa,Slavia Praga,República Checa
Lukáš Horníček,República Checa,Braga,Portugal
Jaroslav Zelený,República Checa,Sparta Praga,República Checa
David Douděra,República Checa,Slavia Praga,República Checa
Tomáš Souček,República Checa,West Ham United,Inglaterra
Alexandr Sojka,República Checa,Viktoria Plzeň,República Checa
Hugo Sochůrek,República Checa,Sparta Praga,República Checa
Tomáš Chorý,República Checa,Slavia Praga,República Checa
Denis Višinský,República Checa,Viktoria Plzeň,República Checa
Raúl Rangel,México,Guadalajara,México
Jorge Sánchez,México,PAOK,Grecia
César Montes,México,Lokomotiv Moscú,Rusia
Edson Álvarez,México,Fenerbahçe,Turquía
Johan Vásquez,México,Genoa,Italia
Érik Lira,México,Cruz Azul,México
Luis Romo,México,Guadalajara,México
Álvaro Fidalgo,México,Real Betis,España
Raúl Jiménez,México,Fulham,Inglaterra
Alexis Vega,México,Toluca,México
Santiago Giménez,México,Milan,Italia
Carlos Acevedo,México,Santos Laguna,México
Guillermo Ochoa,México,AEL Limassol,Chipre
Armando González,México,Guadalajara,México
Israel Reyes,México,América,México
Julián Quiñones,México,Al-Qadsiah,Arabia Saudita
Orbelín Pineda,México,AEK Atenas,Grecia
Obed Vargas,México,Atlético de Madrid,España
Gilberto Mora,México,Tijuana,México
Mateo Chávez,México,AZ Alkmaar,Países Bajos
César Huerta,México,Anderlecht,Bélgica
Guillermo Martínez,México,Pumas UNAM,México
Jesús Gallardo,México,Toluca,México
Luis Chávez,México,Dynamo Moscú,Rusia
Roberto Alvarado,México,Guadalajara,México
Brian Gutiérrez,México,Guadalajara,México
Ronwen Williams,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Sipho Chaine,Sudáfrica,Orlando Pirates,Sudáfrica
Ricardo Goss,Sudáfrica,Siwelele,Sudáfrica
Thabang Matuludi,Sudáfrica,Polokwane City,Sudáfrica
Khulumani Ndamane,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Aubrey Modiba,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Mbekezeli Mbokazi,Sudáfrica,Chicago Fire FC,Estados Unidos
Samukele Kabini,Sudáfrica,Molde FK,Noruega
Nkosinathi Sibisi,Sudáfrica,Orlando Pirates,Sudáfrica
Khuliso Mudau,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Ime Okon,Sudáfrica,Hannover 96,Alemania
Olwethu Makhanya,Sudáfrica,Philadelphia Union,Estados Unidos
Bradley Cross,Sudáfrica,Kaizer Chiefs,Sudáfrica
Teboho Mokoena,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Thalente Mbatha,Sudáfrica,Orlando Pirates,Sudáfrica
Themba Zwane,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Sphephelo Sithole,Sudáfrica,Tondela,Portugal
Jayden Adams,Sudáfrica,Mamelodi Sundowns,Sudáfrica
Oswin Appollis,Sudáfrica,Orlando Pirates,Sudáfrica
Tshepang Moremi,Sudáfrica,Orlando Pirates,Sudáfrica
Lyle Foster,Sudáfrica,Burnley,Inglaterra
Relebohile Mofokeng,Sudáfrica,Orlando Pirates,Sudáfrica
